Tag Name,Total Page Views,Tag Watchers,Total Smes,Median Time To First Answer Hours,Median Time To First Response Hours,Total Unique Contributors,Unique Askers,Unique Answerers,Unique Commenters,Unique Article Contributors,Question Count,Question Upvotes,Question Downvotes,Question Comments,Questions No Answers,Questions Accepted Answer,Questions Self Answered,Answer Count,Sme Answers,Answer Upvotes,Answer Downvotes,Answer Comments,Article Count,Article Upvotes,Article Comments
untagged,246,2,1,1122.18,1122.18,6,4,4,2,2,16,12,0,1,7,3,6,15,9,1,0,1,6,2,2
plusone,102,5,4,6212.75,6212.75,5,3,2,1,2,8,6,0,1,6,0,0,2,1,4,0,0,14,0,0
string,32,0,0,1656.63,1656.63,2,2,1,0,1,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0
c++,29,0,0,0,0,3,1,1,1,1,2,1,1,6,0,2,2,2,0,0,2,0,1,0,0
synonym-test,28,0,0,0,0,2,1,2,0,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0
linux,27,1,1,2246.89,2246.89,6,2,4,1,1,2,0,0,0,0,1,1,5,0,0,0,1,1,0,0
c,26,0,0,0,0,2,1,1,1,0,2,0,1,6,0,2,2,2,0,0,2,0,0,0,0
potatoes,25,1,1,0,0,1,1,1,0,0,2,2,0,0,1,0,1,1,1,0,0,0,0,0,0
mlquality,24,0,0,0,0,3,1,3,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,0
multiagents,19,0,0,0,0,1,1,1,0,0,5,0,0,0,3,2,2,2,0,0,0,0,0,0,0
overflowai-generated,18,1,1,0,0,3,3,3,0,0,4,0,1,0,0,0,4,4,2,0,0,0,0,0,0
jenkins-prisma,16,0,0,0,0,2,1,2,1,0,2,2,0,1,1,1,1,2,0,0,0,0,0,0,0
cr,16,0,0,0,0,2,1,2,1,0,2,2,0,1,1,1,1,2,0,0,0,0,0,0,0
wiki,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
tag-test-ryan,9,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
as-ecommerce,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
patros,8,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
notag,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
tag,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dns,6,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0
ssl-certificate,5,1,0,0,0,1,1,1,0,0,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0
square-root,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
pi,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
shell,3,6,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pressrelease,3,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bunny,3,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
backstage,3,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
trial1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scripttest,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
power-pages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
powerpages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
policy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multi-agent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ml-quality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge-article,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
how-to-guide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
finaltestapi,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
credible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
api,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
announcement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
